ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Total_Spent,Tenure_Months,Ad_Spend,Revenue,Churn,Channel,CLTV,ROI,Age,Age_Group,Income_Group
5524,1957,Graduation,Single,58138.0,0,0,2023-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,1,1617,16,57.450712295168486,2555.156991528101,False,Phone,40882.51186444962,43.47563640987243,68,60+,Mid-High
2174,1954,Graduation,Single,46344.0,1,1,2023-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,27,22,47.92603548243223,38.68152076428329,False,Phone,850.9934568142324,-0.19289128810868594,71,60+,Mid-Low
4141,1965,Graduation,Together,71613.0,0,0,2023-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,776,16,59.715328071510385,1066.725044504225,False,Phone,17067.6007120676,16.86350471401244,60,50-60,High
6182,1984,Graduation,Together,26646.0,1,0,2023-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,53,23,72.84544784612038,75.89788329499244,False,Email,1745.651315784826,0.04190289907092153,41,40-50,Low
5324,1981,PhD,Married,58293.0,1,0,2023-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,422,23,46.48769937914996,593.618687426194,True,Phone,13653.229810802462,11.769371153101973,44,40-50,Mid-High
7446,1967,Master,Together,62513.0,0,1,2023-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,716,15,46.487945645762295,1076.513519076098,False,Email,16147.70278614147,22.156831391929444,58,50-60,Mid-High
965,1971,Graduation,Divorced,55635.0,0,1,2023-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,590,13,73.68819223261087,774.6690715695931,False,SMS,10070.69793040471,9.51279788658951,54,50-60,Mid-High
6177,1985,PhD,Married,33454.0,1,0,2023-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,169,20,61.51152093729363,226.66620647218045,False,Social Media,4533.324129443609,2.6849390653703655,40,30-40,Low
4855,1974,PhD,Together,30351.0,1,0,2023-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,46,19,42.95788421097572,71.65133516661182,False,Social Media,1361.3753681656244,0.6679437659153831,51,50-60,Low
5899,1950,PhD,Together,5648.0,1,1,2023-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,0,49,21,58.13840065378947,77.35054765774795,False,SMS,1624.361500812707,0.33045537524098084,75,60+,Low
